device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Apple iPhone 8 Plus 256GB ,5.5,Ion-strengthened glass,6.2,3.0,0.3,202.0,iOS 11,1,12,1,7,256.0,3.0,0,2675,A11 Bionic,,6.0,Apple,,,"83,999"
Apple iPhone 5 64GB ,4.0,,4.8,2.3,0.3,112.0,iOS 6,1,8,2,1+2,64.0,1.0,0,1440,,,2.0,,1.3,PowerVR SGX 543MP3,"59,500"
Apple iPhone 5 32GB ,4.0,,4.8,2.3,0.3,112.0,iOS 6,1,8,2,1+2,32.0,1.0,0,1440,,Apple A6,2.0,,1.3,PowerVR SGX 543MP3,"39,999"
Apple iPhone 4 32GB ,3.5,Corning Gorilla Glass,4.5,2.3,0.3,137.0,iOS 4,1,5,2,0+3,32.0,0.5,0,1420,,Cortex-A8,,,1.0,PowerVR SGX535,"41,900"
Apple iPhone 5C (8 GB) ,4.0,,4.9,2.3,0.3,132.0,iOS 7,1,8,2,1+2,8.0,1.0,0,1510,A6,Swift,2.0,Apple,1.3,PowerVR SGX 543MP3,"18,490"
Apple iPhone 5C 32GB ,4.0,,4.9,2.3,0.3,132.0,iOS 7,1,8,2,1+2,32.0,1.0,0,1510,A6,Swift,2.0,Apple,1.3,PowerVR SGX 543MP,"46,799"
Apple iPhone 7 Plus ,5.5,Ion-strengthened glass,6.2,3.0,0.2,188.0,iOS 10,1,12,1,7,32.0,3.0,0,2900,A10 Fusion,,4.0,Apple,2.3,PowerVR 7XT Plus,"60,990"
Apple iPhone 7 Plus 256GB ,5.5,Ion-strengthened glass,6.2,3.0,0.2,188.0,iOS 10,1,12,1,7,256.0,3.0,0,2900,A10 Fusion,,4.0,Apple A10 Fusion,2.23,PowerVR Series7XT Plus,"73,990"
Apple iPhone 6S Plus 128GB ,5.5,Ion Strengthened Glass,6.2,3.0,0.2,192.0,iOS 9,1,12,1,5,128.0,2.0,0,2750,A9,Twister,2.0,Apple,1.84,Power VR GT7600,"49,500"
Apple iPhone 5C ,4.0,,4.9,2.3,0.3,132.0,iOS 7,1,8,2,1+2,16.0,1.0,0,1510,,,2.0,,1.3,PowerVR SGX 543MP3,"13,999"
Apple iPhone 6 Plus 32GB ,5.5,Ion-strengthened glass,6.2,3.0,0.2,172.0,iOS 8,1,8,2,1+2,32.0,1.0,0,2915,A8,Typhoon,2.0,Apple,1.4,PowerVR GX6450,"36,999"
Apple iPhone 6 Plus 128GB ,5.5,Ion-Strengthened Glass,6.2,3.0,0.2,172.0,iOS 8,1,8,2,1+2,128.0,1.0,0,2915,A8,Typhoon,2.0,Apple,1.4,PowerVR GX6450,"50,286"
Apple iPhone 4S 16GB ,3.5,Corning Gorilla Glass,4.5,2.3,0.3,140.0,iOS 5,1,8,0,,16.0,0.5,0,1432,A5,Cortex-A9,2.0,Apple,1.0,PowerVR SGX543MP2,"19,799"
Apple iPhone 7 256GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138.0,iOS 10,1,12,1,7,256.0,2.0,0,1960,A10 Fusion,,4.0,Apple,2.3,PowerVR 7XT Plus,"57,868"
Apple iPhone 4 16GB ,3.5,Corning Gorilla Glass,4.5,2.3,0.3,137.0,iOS 4,1,5,2,0+3,16.0,0.5,0,1420,A4,Cortex-A8,1.0,Apple A4,1.0,PowerVR SGX535,"26,999"
Apple iPhone 6s 128GB ,4.7,Ion-strengthened glass,5.4,2.6,0.2,143.0,iOS 9,1,12,1,5,128.0,2.0,0,1715,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"66,990"
Apple iPhone 6 Plus 64GB ,5.5,Ion-strengthened glass,6.2,3.0,0.2,172.0,iOS 8,1,8,2,1+2,64.0,1.0,0,2915,A8,Typhoon,2.0,Apple A8,1.4,PowerVR GX6450,"46,000"
Apple iPhone SE 64GB ,4.0,,4.8,2.3,0.3,113.0,iOS 9.3.2,1,12,2,1+2,64.0,2.0,0,1624,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"32,999"
Apple iPhone 5S 32GB ,4.0,Corning Gorilla Glass,4.8,2.3,0.3,112.0,iOS 7,1,8,2,1+2,32.0,1.0,0,1560,A7,Cyclone,2.0,Apple A7,1.3,PowerVR G6430,"16,899"
Apple iPhone 6s Plus 64GB ,5.5,Ion-strengthened glass,6.2,3.0,0.2,192.0,iOS 9,1,12,1,5,64.0,2.0,0,2750,A9,Twister,2.0,Apple A9,1.84,PowerVR GT7600,"53,499"
Apple iPhone 6 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129.0,iOS 8,1,8,2,1+2,16.0,1.0,0,1810,A8,Typhoon,2.0,Apple,1.4,PowerVR GX6450,"36,499"
Apple iPhone 6 128GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129.0,iOS 8,1,8,2,1+2,128.0,1.0,0,1810,A8,Typhoon,2.0,Apple,1.4,PowerVR GX6450,"32,999"
Apple iPhone 4S 8GB ,3.5,,4.5,2.3,0.3,140.0,iOS 5,1,8,0,,8.0,0.5,0,1430,,Cortex-A9,2.0,Apple A5,1.0,PowerVR SGX543MP2,"9,900"
Apple iPhone 5 ,4.0,Corning Gorilla Glass,4.8,2.3,0.3,112.0,iOS 6,1,8,2,1+2,16.0,1.0,0,1440,A6,Swift,2.0,Apple,1.3,PowerVR SGX 543MP3,"14,500"
Apple iPhone 6 Plus ,5.5,Ion-strengthened glass,6.2,3.0,0.2,172.0,iOS 8,1,8,2,1+2,16.0,1.0,0,2915,A8,Typhoon ,2.0,Apple A8,1.4,PowerVR GX6450,"57,000"
Apple iPhone 8 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,148.0,iOS 11,1,12,1,7,64.0,2.0,0,1821,A11 Bionic,,6.0,Apple,,,"61,200"
Apple iPhone 6 64GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,129.0,iOS 8,1,8,2,1+2,64.0,1.0,0,1810,A8,Typhoon,2.0,Apple,1.4,PowerVR GX6450,"52,999"
Apple iPhone 6S 32GB ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,143.0,iOS 9,1,12,1,5,32.0,2.0,0,1715,A9,Twister,2.0,Apple,1.8,PowerVR GT7600,"34,999"
Apple iPhone X ,5.8,Scratch Resistant Glass,5.6,2.7,0.3,174.0,iOS 11,1,12,1,7,64.0,3.0,0,2716,A11 Bionic,,6.0,Apple,,,"89,000"
Apple iPhone 7 ,4.7,Ion-Strengthened Glass,5.4,2.6,0.2,138.0,iOS 10,1,12,1,7,32.0,2.0,0,1960,A10 Fusion,,4.0,Apple,2.3,PowerVR 7XT Plus,"46,999"
Apple iPhone 5S ,4.0,Corning Gorilla Glass,4.8,2.3,0.3,112.0,iOS 7,1,8,2,1+2,16.0,1.0,0,1560,A7,Cyclone,2.0,Apple,1.3,PowerVR G6430,"16,999"
Apple iPhone SE 32GB ,4.0,Ion-Strengthened Glass,4.8,2.3,0.3,113.0,iOS 9.3.2,1,12,2,1+2,32.0,2.0,0,1624,A9,Twister,2.0,Apple,1.84,PowerVR GT7600,"17,975"
Apple iPhone X 256GB ,5.8,Scratch Resistant Glass,5.6,2.7,0.3,174.0,iOS 11,1,12,1,7,256.0,3.0,0,2716,A11 Bionic,,6.0,Apple,,,"98,200"
